,Lag1_Close,Lag1_Return,Lag1_RSI,Lag1_MACD,Lag1_MACD_Signal,Volume_Change,MA5_diff,BB_Pressure
1,303.4,0.0,43.07,-1.54,-1.47,0.0,-0.002748253369093686,0.3817239144523645
2,302.93,-0.00154911008569536,41.05,-1.45,-1.46,0.06368762324283628,0.007067958587735583,0.3821886296418006
3,306.63,0.012214042848182727,42.76,-1.12,-1.39,-0.10144443678371651,0.011519819401102084,0.5162162162162159
4,309.87,0.01056648077487532,41.91,-0.63,-1.24,0.36649329053819746,0.015493845592382332,0.6204232448773934
5,309.87,0.0,45.96,-0.23,-1.04,-0.39496345895856977,0.011282660332541621,0.6113712374581942
6,309.87,0.0,50.44,0.07,-0.81,-0.25589192891283974,0.010935960591132953,0.6025341780593527
7,306.63,-0.010455997676445006,48.72,0.08,-0.63,-0.05885335163059324,0.008299839884978665,0.5038890767669929
8,297.85,-0.028633858396112544,41.92,-0.53,-0.61,2.879356060166358,0.0034995911692559055,0.23507588532883752
9,302.01,0.013966761792848725,58.93,-0.71,-0.63,-0.3727320803853368,-0.0013413596806910455,0.3934774902516829
10,301.08,-0.0030793682328399408,55.13,-0.91,-0.69,-0.3034840731407662,-0.004983443165797783,0.3784114052953149
11,300.62,-0.0015278331340506934,60.2,-1.08,-0.77,-0.15542140645828906,-0.010172606156067542,0.37836644591611485
12,296.0,-0.015368238972789605,44.32,-1.54,-0.92,0.8275853272009501,-0.014899355347980625,0.20639789658194482
13,297.85,0.006250000000000089,43.69,-1.75,-1.09,-0.1318825539026538,-0.012072434607645958,0.3079982324348223
14,294.61,-0.010877958704045732,33.33,-2.13,-1.3,0.6709308915529824,-0.011967908765415773,0.1982532751091709
15,292.3,-0.007840874376294105,35.0,-2.58,-1.55,0.012757492382277524,-0.012004801920768384,0.10104076322636556
16,287.67,-0.01583989052343482,31.46,-3.25,-1.89,0.30468134792474233,-0.013337364778606555,-0.020566550252230188
17,293.68,0.02089199429902311,35.1,-3.28,-2.17,-0.3783308465855255,-0.010628606134224035,0.2007168458781369
18,296.46,0.009466085535276392,34.41,-3.05,-2.35,-0.13563496153366228,-0.011106235020085812,0.3220738413197163
19,298.77,0.0077919449504149085,37.75,-2.67,-2.41,-0.11829262777476879,-0.00716458262926666,0.4208873184138195
20,291.37,-0.024768216353716843,32.45,-2.9,-2.51,0.36145493347138036,-0.0045434509883702295,0.16840077071290968
21,282.58,-0.030167827847753736,29.36,-3.72,-2.75,0.7046905954903857,-0.0019104151741548196,-0.045000000000000755
22,283.97,0.004918961002194244,36.36,-4.21,-3.04,-0.18118715857515078,-0.004453122323844796,0.0697174447174459
23,279.35,-0.01626932422438987,27.93,-4.9,-3.42,-0.13528008913951928,-0.00989382239382241,0.013246899661782047
24,271.95,-0.026490066225165698,24.81,-5.96,-3.92,0.8247083621104363,-0.020742851186546774,-0.0761447002276749
25,268.25,-0.013605442176870652,23.49,-7.0,-4.54,0.3212247681177727,-0.028661527680448322,-0.0617084964310386
26,255.76,-0.0465610438024231,20.81,-8.71,-5.37,-0.30748941292421006,-0.036674816625916755,-0.16269148729881672
27,247.9,-0.030731936190178222,16.67,-10.56,-6.41,0.16799731110695815,-0.046823224319262356,-0.13701531443466922
28,240.5,-0.02985074626865669,15.79,-12.46,-7.62,-0.03203009444547622,-0.05576385825613886,-0.09651401230348605
29,231.62,-0.03692307692307695,14.58,-14.49,-8.99,0.3693368914088304,-0.062226745062565925,-0.07756689850288796
30,252.17,0.08872290821172601,32.53,-14.32,-10.06,-0.01956929165420096,-0.06051796029226127,0.19823584029712146
31,238.16,-0.055557758654875666,24.67,-15.12,-11.07,-0.5150043326748939,-0.057946762141967575,0.09220563847429523
32,249.84,0.049042660396372284,30.33,-14.65,-11.79,0.07174656882382635,-0.043738907513311,0.24804666006382733
33,258.71,0.03550272174191482,33.98,-13.42,-12.11,-0.030575281546055266,-0.0214322637082986,0.36358499095840857
34,261.51,0.010822929148467386,37.6,-12.09,-12.11,-0.3348332771303869,0.006548474684555242,0.41134008615671197
35,254.97,-0.025008603877480717,38.32,-11.42,-11.97,0.30100260129346923,0.014170446790574335,0.3535233098843449
36,249.84,-0.020120014119308083,36.0,-11.17,-11.81,-0.28497007794909457,0.025953645581844473,0.3127562093079335
37,255.91,0.02429554915145693,40.5,-10.37,-11.52,-0.006550717824076124,0.02755494946253812,0.4040071011919855
38,253.57,-0.00914383963112031,42.23,-9.81,-11.18,-0.08851500503000509,0.0180744523800024,0.3934111187371311
39,257.31,0.014749378869740148,45.38,-8.96,-10.74,0.266824911332203,0.004423380726698281,0.46935256309766404
40,264.31,0.027204539271695527,53.79,-7.64,-10.12,-0.1348649863775052,0.006996580323100511,0.6132743362831856
41,266.18,0.007075025538193724,58.55,-6.37,-9.37,-0.22289632233735357,0.008708498561542462,0.6741379310344828
42,264.31,-0.007025321211210467,61.75,-5.45,-8.58,-0.2714753049535268,0.009587875976184802,0.6771755560354138
43,261.04,-0.012371836101547351,65.36,-4.93,-7.85,-0.013307975292202179,0.014407106991116332,0.6420592520641097
44,260.11,-0.003562672387373622,55.22,-4.54,-7.19,-0.18553144040892888,0.0171201113000464,0.6436572023964574
45,266.18,0.02333628080427519,70.55,-3.7,-6.49,1.1989717702660352,0.014160381714637552,0.8090452261306539
46,268.52,0.00879104365466965,65.87,-2.81,-5.76,0.13125972040632594,0.008749140368304285,0.8360943775100395
47,267.58,-0.0035006703411291085,58.71,-2.16,-5.04,-0.13403897107879148,0.006770377695789329,0.7816261360844993
48,286.26,0.06981089767546167,68.53,-0.14,-4.06,1.4337032220662516,0.013336839732511877,1.1035752979414946
49,283.93,-0.00813945364354074,73.14,1.25,-3.0,-0.6443902316578736,0.02101621782472859,1.0176231360144607
50,275.52,-0.029619976754834076,69.5,1.67,-2.06,0.485666443274678,0.02370721588383477,0.7946507515473029
51,274.59,-0.0033754355400696934,65.38,1.9,-1.27,-0.31371143000080504,0.02503692762186105,0.7617516081147935
